,index,text,category,explanation
1429,1429,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I\'ll come up",ham,Discussion about tracking smoking habits.
1430,1430,For sale - arsenal dartboard. Good condition but no doubles or trebles!,spam,Advertisement for a dartboard.
1431,1431,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,ham,Concern for someone's health.
1432,1432,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",ham,Personal reflection on feelings.
1433,1433,Thanks for ve lovely wisheds. You rock,ham,Gratitude for well wishes.
1434,1434,You intrepid duo you! Have a great time and see you both soon.,ham,Friendly message wishing well.
1435,1435,I asked sen to come chennai and search for job.,ham,Update about job search.
1436,1436,Dad went out oredi...,ham,Casual update about family.
1437,1437,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",ham,Expression of feelings about missing someone.
1438,1438,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,ham,Casual conversation about dinner plans.
1439,1439,"Arms fine, how's Cardiff and uni?",ham,Inquiry about someone's well-being.
1440,1440,In fact when do you leave? I think addie goes back to school tues or wed,ham,Casual conversation about plans.
1441,1441,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING & HAVE A NICE DAY"" :)",ham,Friendly morning greeting.
1442,1442,Ya:)going for restaurant..,ham,Informal message about going out.
1443,1443,"Its ok., i just askd did u knw tht no?",ham,Casual inquiry about knowledge.
1444,1444,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam,Promotional message with a contest.
1445,1445,Those ducking chinchillas,ham,Casual mention of chinchillas.
1446,1446,I am in a marriage function,ham,Informal update about attending an event.
1447,1447,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham,Discussion about meeting up.
1448,1448,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,ham,Supportive message to a friend.
1449,1449,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,spam,Spam message about a prize draw.
1450,1450,say thanks2.,ham,Simple expression of gratitude.
1451,1451,Msg me when rajini comes.,ham,Request for a message update.
1452,1452,Ya! when are ü taking ure practical lessons? I start in june..,ham,Casual conversation about lessons.
1453,1453,"That's good, because I need drugs",ham,Casual mention of needing medication.
1454,1454,Stupid.its not possible,ham,Expression of disbelief.
1455,1455,Can ü all decide faster cos my sis going home liao..,ham,Urgent request for a decision.
1456,1456,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam,Spam message promoting dating.
1457,1457,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,ham,Casual chat about online activity.
1458,1458,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,spam,Spam message inviting to chat.
1459,1459,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham,Philosophical reflection on relationships.
1460,1460,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam,Spam message about ringtone offers.
1461,1461,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",ham,Casual chat about life and marriage.
1462,1462,Kinda. First one gets in at twelve! Aah. Speak tomo,ham,Casual arrangement to speak later.
1463,1463,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",spam,Spam message about a prize win.
1464,1464,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,ham,Casual conversation about meeting.
1465,1465,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,ham,Casual discussion about safety.
1466,1466,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",spam,Spam message about guaranteed prizes.
1467,1467,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,Notification about account refill.
1468,1468,I wont touch you with out your permission.,ham,Respectful message about consent.
1469,1469,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,spam,Spam message inviting to meet.
1470,1470,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",ham,Personal message expressing friendship and good wishes.
1471,1471,Take some small dose tablet for fever,ham,Health advice regarding medication.
1472,1472,Oh. U must have taken your REAL Valentine out shopping first.,ham,Casual conversation about Valentine's Day.
1473,1473,"Just sent you an email – to an address with incomm in it, is that right?",ham,Clarification about email communication.
1474,1474,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",ham,Planning to meet up with a friend.
1475,1475,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",ham,Reflection on the nature of friendship.
1476,1476,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",ham,Light-hearted reminder about texting while driving.
1477,1477,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,ham,Invitation to dinner after watching a movie.
1478,1478,Why you keeping me away like this,ham,Expressing feelings of being distanced.
1479,1479,I think its far more than that but find out. Check google maps for a place from your dorm.,ham,Suggesting to check directions for a meeting.
1480,1480,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,ham,Sharing personal experience about a trip and studies.
1481,1481,Have you always been saying welp?,ham,Casual inquiry about language use.
1482,1482,"I'm a guy, browsin is compulsory",ham,Casual statement about browsing.
1483,1483,Ok...,ham,Simple acknowledgment.
1484,1484,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,ham,Philosophical view on friendship.
1485,1485,"Sorry, I'll call later",ham,Apology for not being available.
1486,1486,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",spam,"Disregard for others' feelings, potential scam."
1487,1487,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",ham,Romantic message checking in on a partner.
1488,1488,I told your number to gautham..,ham,Informing about sharing contact information.
1489,1489,Tell them no need to investigate about me anywhere.,spam,"Defensive statement, possibly related to scams."
1490,1490,Ok i juz receive..,ham,Acknowledgment of receipt.
1491,1491,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",ham,Affectionate message expressing love.
1492,1492,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam,"Promotional message, likely a scam."
1493,1493,In the end she might still vomit but its okay. Not everything will come out.,ham,Casual conversation about a situation.
1494,1494,How are you with moneY...as in to you...money aint a thing....how are you sha!,ham,Casual inquiry about financial situation.
1495,1495,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,ham,Advice regarding health and weather.
1496,1496,Hey gals.. Anyone of u going down to e driving centre tmr?,ham,Inquiry about plans for the next day.
1497,1497,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,ham,Informing about availability on messaging platform.
1498,1498,I'm putting it on now. It should be ready for  &lt;TIME&gt;,ham,Update about readiness of something.
1499,1499,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",ham,Philosophical reflection on time and happiness.
1500,1500,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",spam,Promotes psychic services and encourages replies.
1501,1501,Host-based IDPS for linux systems.,ham,Technical information about security systems.
1502,1502,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Promotes adult services with a premium rate number.
1503,1503,Don no da:)whats you plan?,ham,Casual conversation asking about plans.
1504,1504,Ill be there on  &lt;#&gt;  ok.,ham,Simple confirmation of plans.
1505,1505,Oh my God. I'm almost home,ham,Casual update about being home.
1506,1506,Total video converter free download type this in google search:),spam,"Promotes software download, likely misleading."
1507,1507,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,Encourages replies for karaoke service.
1508,1508,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,Friendly advice about relationships.
1509,1509,Sounds like something that someone testing me would sayy,ham,Casual remark about someone's words.
1510,1510,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,ham,Romantic advice about love.
1511,1511,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",ham,Casual inquiry about a friend's phone.
1512,1512,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,ham,Request for a favor regarding pickup.
1513,1513,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",ham,Request for help with file transfer.
1514,1514,Hows the champ just leaving glasgow!,ham,Casual greeting about someone's location.
1515,1515,K:)all the best:)congrats...,ham,Friendly congratulatory message.
1516,1516,I wonder if you'll get this text?,ham,Curiosity about message delivery.
1517,1517,I need to come home and give you some good lovin...,ham,Intimate message expressing affection.
1518,1518,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,spam,"Promotes a music service, likely unsolicited."
1519,1519,Shall i ask one thing if you dont mistake me.,ham,Polite inquiry for permission.
1520,1520,Check wid corect speling i.e. Sarcasm,ham,Casual comment about spelling.
1521,1521,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam,Classic spam message about a fake prize.
1522,1522,Are you angry with me. What happen dear,ham,Concern about someone's feelings.
1523,1523,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,ham,Casual conversation about forum discussions.
1524,1524,Yup ok thanx...,ham,Simple acknowledgment and thanks.
1525,1525,Hi:)cts employee how are you?,ham,Friendly greeting from a colleague.
1526,1526,Pls pls find out from aunt nike.,ham,Request for information from a family member.
1527,1527,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",ham,Affectionate message expressing love.
1528,1528,No screaming means shouting..,ham,Casual comment about communication.
1529,1529,Hey what happen de. Are you alright.,ham,Concern for someone's well-being.
1530,1530,Should I have picked up a receipt or something earlier,ham,Casual inquiry about receipts.
1531,1531,I think chennai well settled?,ham,Opinion about a city.
1532,1532,Oh dang! I didn't mean o send that to you! Lol!,ham,Casual mistake in messaging.
1533,1533,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,ham,Personal schedule conflict.
1534,1534,Horrible bf... I now v hungry...,ham,Expressing frustration and hunger.
1535,1535,Remember on that day..,ham,Nostalgic reference.
1536,1536,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,Promotional spam message.
1537,1537,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,ham,Casual conversation about Valentine's.
1538,1538,All sounds good. Fingers . Makes it difficult to type,ham,Comment on typing difficulty.
1539,1539,Midnight at the earliest,ham,Time-related statement.
1540,1540,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,ham,Discussion about smoking.
1541,1541,K come to nordstrom when you're done,ham,Casual invitation to meet.
1542,1542,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,ham,Message about friendship.
1543,1543,Now press conference da:),ham,Informal announcement about an event.
1544,1544,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",spam,Promotional spam message.
1545,1545,After completed degree. There is no use in joining finance.,ham,Opinion on career choices.
1546,1546,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",ham,Personal message expressing care.
1547,1547,Shant disturb u anymore... Jia you...,ham,Casual farewell message.
1548,1548,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,ham,Casual conversation about shopping.
1549,1549,"Me, i dont know again oh",ham,Expression of uncertainty.
1550,1550,Dude sux for snake. He got old and raiden got buff,ham,Casual comment on gaming.
1551,1551,He says hi and to get your ass back to south tampa (preferably at a kegger),ham,Casual greeting and invitation.
1552,1552,In e msg jus now. U said thanks for gift.,ham,Reference to a previous message.
1553,1553,U too...,ham,Short response to a message.
1554,1554,Ok how you dear. Did you call chechi,ham,Casual inquiry about someone.
1555,1555,Yeah we do totes. When u wanna?,ham,Casual agreement and scheduling.
1556,1556,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ham,Shopping information.
1557,1557,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),ham,Advice on sleep.
1558,1558,Wat r u doing?,ham,Casual inquiry about activities.
1559,1559,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham,Informative message about location.
1560,1560,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",ham,Positive motivational message.
1561,1561,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",ham,Casual invitation for an outing.
1562,1562,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,ham,Advice for dealing with discomfort.
1563,1563,Dude just saw a parked car with its sunroof popped up. Sux,ham,Casual observation about a car.
1564,1564,Get ready to put on your excellent sub face :),ham,Light-hearted encouragement.
1565,1565,Tmrw. Im finishing 9 doors,ham,Update on personal task.
1566,1566,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",ham,Discussion about a wifi offer.
1567,1567,I am late. I will be there at,ham,Notification of being late.
1568,1568,"whatever, im pretty pissed off.",ham,Expression of frustration.
1569,1569,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham,Playful message about relationships.
1570,1570,I dont have that much image in class.,ham,Personal statement about self-image.
1571,1571,No:-)i got rumour that you going to buy apartment in chennai:-),ham,Casual rumor about a friend.
1572,1572,Near kalainar tv office.thenampet,ham,Location information.
1573,1573,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam,Promotional message for cash service.
1574,1574,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,spam,Spam auction advertisement.
1575,1575,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,ham,Casual message about plans.
1576,1576,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",ham,Friendly conversation.
1577,1577,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,ham,Personal reflection on feelings.
1578,1578,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",ham,Reflective message about past actions.
1579,1579,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,ham,Advice on making someone happy.
1580,1580,"Why is that, princess? I bet the brothas are all chasing you!",ham,Flirtatious compliment.
1581,1581,"I shall book chez jules for half eight, if that's ok with you?",ham,Planning a dinner reservation.
1582,1582,Hhahhaahahah rofl wtf nig was leonardo in your room or something,ham,Humorous comment about a celebrity.
1583,1583,"Yep, at derek's house now, see you Sunday &lt;3",ham,Casual confirmation of plans.
1584,1584,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",ham,Casual message about availability.
1585,1585,"Sorry, I'll call later",ham,Apology for not calling now.
1586,1586,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,ham,Request for communication with family.
1587,1587,There are no other charges after transfer charges and you can withdraw anyhow you like,ham,Information about financial transactions.
1588,1588,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",ham,Philosophical message about love.
1589,1589,At 4. Let's go to bill millers,ham,Casual plan to meet.
1590,1590,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,ham,Expresses love and affection.
1591,1591,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",ham,Encourages romantic feelings and positivity.
1592,1592,That's my honeymoon outfit. :),ham,Personal statement about a special occasion.
1593,1593,Will it help if we propose going back again tomorrow,ham,Suggests a plan for future engagement.
1594,1594,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,spam,Contains promotional and potentially fraudulent content.
1595,1595,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,ham,Motivational message about life experiences.
1596,1596,Pls confirm the time to collect the cheque.,ham,Request for confirmation regarding a financial matter.
1597,1597,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,spam,Promotional message for a contest.
1598,1598,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam,Classic scam message promising a prize.
1599,1599,Daddy will take good care of you :),ham,Affectionate message indicating care.
1600,1600,"Yeah probably, I still gotta check out with leo",ham,Casual conversation about plans.
1601,1601,K.then any other special?,ham,Inquiring about special events or plans.
1602,1602,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,ham,Casual message about meeting up.
1603,1603,Ok pa. Nothing problem:-),ham,Casual confirmation of no issues.
1604,1604,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!,ham,Informal invitation to an event.
1605,1605,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",ham,Poetic expression of friendship.
1606,1606,When you came to hostel.,ham,Casual inquiry about a past event.
1607,1607,Ok no prob... I'll come after lunch then...,ham,Confirmation of plans to meet.
1608,1608,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,ham,Informing about travel plans.
1609,1609,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,ham,Affectionate inquiry about well-being.
1610,1610,You all ready for * big day tomorrow?,ham,Excitement about an upcoming event.
1611,1611,I'll probably be around mu a lot,ham,Casual statement about availability.
1612,1612,645,ham,"Short response, likely a time or code."
1613,1613,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,spam,Promotional message for a service.
1614,1614,Thnx dude. u guys out 2nite?,ham,Casual inquiry about social plans.
1615,1615,Me sef dey laugh you. Meanwhile how's my darling anjie!,ham,Friendly message checking on someone.
1616,1616,Mm i had my food da from out,ham,Casual statement about meals.
1617,1617,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",ham,Informal update about plans.
1618,1618,Did u download the fring app?,ham,Casual inquiry about an app.
1619,1619,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,ham,Casual discussion about a transaction.
1620,1620,Friends that u can stay on fb chat with,ham,Casual conversation about friendship.
1621,1621,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",ham,Personal message expressing affection.
1622,1622,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",ham,Philosophical reflection on simplicity.
1623,1623,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,Promotional message for a secret admirer.
1624,1624,"Ah, well that confuses things, doesn‘t it?",ham,Casual conversation expressing confusion.
1625,1625,500 free text msgs. Just text ok to 80488 and we'll credit your account,spam,Promotional message for free text messages.
1626,1626,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,ham,Urgent personal message seeking communication.
1627,1627,Dear how you. Are you ok?,ham,Casual inquiry about someone's well-being.
1628,1628,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS",spam,Promotional message for a free hotel stay.
1629,1629,Yes princess! I want to make you happy...,ham,Affectionate message expressing desire to please.
1630,1630,Sounds like you have many talents! would you like to go on a dinner date next week?,ham,Invitation for a dinner date.
1631,1631,I am going to film 2day da. At 6pm. Sorry da.,ham,Casual message about plans.
1632,1632,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,ham,Casual update about current activities.
1633,1633,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,ham,Friendly message expressing affection.
1634,1634,Yesterday its with me only . Now am going home.,ham,Casual update about past and current location.
1635,1635,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam,Promotional message for ringtone services.
1636,1636,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",ham,Romantic message expressing deep feelings.
1637,1637,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",ham,Personal recount of an evening.
1638,1638,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,Informational message about SMS billing.
1639,1639,Great comedy..cant stop laughing da:),ham,Casual message expressing enjoyment.
1640,1640,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,spam,Promotional message seeking companionship.
1641,1641,"Alright, we're all set here, text the man",ham,Casual message about being prepared.
1642,1642,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",ham,Casual inquiry about plans.
1643,1643,Sleeping nt feeling well,ham,Personal message about health.
1644,1644,U WILL SWITCH YOUR FONE ON DAMMIT!!,ham,Urgent message requesting action.
1645,1645,India have to take lead:),ham,Casual comment about leadership.
1646,1646,I.ll post her out l8r. In class,ham,Casual update about plans.
1647,1647,Thts wat Wright Brother did to fly..,ham,Casual comment about history.
1648,1648,"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!",ham,Casual update about health and plans.
1649,1649,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),ham,Casual message about friendship.
1650,1650,ITS A LAPTOP TAKE IT WITH YOU.,ham,Informal message about a laptop.
1651,1651,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,ham,Personal communication about missing files.
1652,1652,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,ham,Casual conversation about timing.
1653,1653,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam,Promotional message for a cash prize.
1654,1654,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,ham,Casual chat about shopping and location.
1655,1655,"Wishing you and your family Merry ""X"" mas and HAPPY New Year in advance..",ham,Friendly holiday greeting.
1656,1656,At 7 we will go ok na.,ham,Simple confirmation of plans.
1657,1657,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),ham,Casual update about social media.
1658,1658,S:-)if we have one good partnership going we will take lead:),ham,Positive message about collaboration.
1659,1659,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,spam,Urgent spam message about winning money.
1660,1660,"Yeah, where's your class at?",ham,Casual inquiry about class location.
1661,1661,No just send to you. Bec you in temple na.,ham,Informal message about sending something.
1662,1662,"You aren't coming home between class, right? I need to work out and shower!",ham,Personal message about schedule.
1663,1663,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,spam,Explicit advertisement for adult services.
1664,1664,S but mostly not like that.,ham,Casual response to a previous statement.
1665,1665,Ü v ma fan...,ham,Informal message likely about a fan.
1666,1666,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,ham,Casual recounting of an event.
1667,1667,Guess who spent all last night phasing in and out of the fourth dimension,ham,Humorous personal message.
1668,1668,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,ham,Personal message about family.
1669,1669,"Yes..but they said its IT.,",ham,Response about a topic.
1670,1670,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)",ham,Emotional message with a quote.
1671,1671,Lmao!nice 1,ham,Casual response to something funny.
1672,1672,Glad to see your reply.,ham,Positive acknowledgment of a response.
