text,category,explanation,rating,rating_reason,suggested_instruction
Mum ask ü to buy food home...,ham,Request to buy food from a family member.,4,Correct category based on clear explanation.,Clarify family requests.
K..u also dont msg or reply to his msg..,ham,Advice regarding communication with someone.,4,Correct category based on clear explanation.,Provide clear advice in messages.
How much r ü willing to pay?,ham,Negotiation about payment.,4,Correct category based on clear explanation.,Clarify negotiation context.
"Sorry, I'll call later",ham,Apology for delayed communication.,4,Correct category based on clear explanation.,Specify reasons for delays.
What is important is that you prevent dehydration by giving her enough fluids,ham,Advice on health and hydration.,4,Correct category based on clear explanation.,Provide clear health advice.
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham,Discussion about an event location.,4,Correct category based on clear explanation.,Clarify event details.
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,ham,Personal message about prayer and communication.,4,Correct category based on clear explanation.,Specify personal reflections clearly.
"I don't think I can get away for a trek that long with family in town, sorry",ham,Declining an invitation due to family obligations.,4,Correct category based on clear explanation.,Clarify reasons for declining invitations.
So when do you wanna gym harri,ham,Casual inquiry about gym plans.,4,Correct category based on clear explanation.,Specify gym plans clearly.
Quite late lar... Ard 12 anyway i wun b drivin...,ham,Informal message about timing and driving.,4,Correct category based on clear explanation.,Clarify timing in messages.
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",spam,Promotional message with unsubscribe option.,4,Correct category based on clear explanation.,Clarify promotional content.
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,spam,Promotional offer for mobile services.,4,Correct category based on clear explanation.,Specify promotional offers clearly.
"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",ham,A humorous anecdote about confidence.,4,Correct category based on clear explanation.,Clarify humor in anecdotes.
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham,Personal reflection on social dynamics.,4,Correct category based on clear explanation.,Specify social dynamics clearly.
08714712388 between 10am-7pm Cost 10p,spam,"Service number with associated cost, likely spam.",4,Correct category based on clear explanation.,Clarify service details.
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",spam,Financial advice that seems suspicious.,4,Correct category based on clear explanation.,Clarify financial advice.
He also knows about lunch menu only da. . I know,ham,Casual conversation about lunch.,4,Correct category based on clear explanation.,Specify lunch details clearly.
When i have stuff to sell i.ll tell you,ham,Informal message about selling items.,4,Correct category based on clear explanation.,Clarify selling intentions.
#ERROR!,spam,"Error message, likely spam or irrelevant.",4,Correct category based on clear explanation.,Clarify error messages.
Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,ham,Discussion about lessons and membership.,4,Correct category based on clear explanation.,Specify lesson details clearly.
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,spam,"Prize notification, typical spam message.",4,Correct category based on clear explanation.,Clarify prize notifications.
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,ham,Personal message expressing support and plans.,4,Correct category based on clear explanation.,Ensure clarity in categorization criteria.
Oh is it? Send me the address,ham,Casual inquiry about an address.,4,Correct category based on clear explanation.,Clarify context for casual inquiries.
S'fine. Anytime. All the best with it.,ham,Supportive response to someone's situation.,4,Correct category based on clear explanation.,Focus on supportive language in messages.
That is wondar full flim.,ham,Positive comment about a film.,4,Correct category based on clear explanation.,Identify positive sentiments in reviews.
Ya even those cookies have jelly on them,ham,Casual conversation about cookies.,4,Correct category based on clear explanation.,Recognize casual discussions in texts.
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",ham,Philosophical reflection on life.,4,Correct category based on clear explanation.,Acknowledge philosophical themes in messages.
Got it! It looks scrumptious... daddy wants to eat you all night long!,ham,Flirtatious comment about food.,4,Correct category based on clear explanation.,Identify flirtatious language in texts.
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,ham,Casual conversation about plans.,4,Correct category based on clear explanation.,Clarify casual planning discussions.
"Alright omw, gotta change my order to a half8th",ham,Informal message about changing an order.,4,Correct category based on clear explanation.,Recognize informal order changes.
Exactly. Anyways how far. Is jide her to study or just visiting,ham,Casual inquiry about someone's visit.,4,Correct category based on clear explanation.,Identify inquiries about visits.
Dunno y u ask me.,ham,Casual response indicating uncertainty.,4,Correct category based on clear explanation.,Acknowledge casual uncertainty in responses.
Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam,Spam email about prescription drugs.,4,Correct category based on clear explanation.,Identify spam characteristics in emails.
No he didn't. Spring is coming early yay!,ham,Casual conversation about the seasons.,4,Correct category based on clear explanation.,Recognize casual seasonal discussions.
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,ham,Humorous comment about a dinner plan.,4,Correct category based on clear explanation.,Identify humor in casual conversations.
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,ham,Advice on handling messages.,4,Correct category based on clear explanation.,Acknowledge advice in text messages.
Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,ham,Personal message about travel and seeking support.,4,Correct category based on clear explanation.,Identify personal messages about travel.
Then why no one talking to me,ham,Expression of feeling ignored.,4,Correct category based on clear explanation.,Acknowledge expressions of loneliness.
Thanks for looking out for me. I really appreciate.,ham,Gratitude expressed for support.,4,Correct category based on clear explanation.,Recognize expressions of gratitude.
Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Spam message promoting a mobile offer.,4,Correct category based on clear explanation.,Identify promotional spam messages.
Wish i were with you now!,ham,Expression of longing to be with someone.,4,Correct category based on clear explanation.,Acknowledge expressions of longing.
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham,Light-hearted conversation about relationships.,4,Correct category based on clear explanation.,Identify light-hearted relationship discussions.
Yes i will be there. Glad you made it.,ham,Confirmation of attendance.,4,Correct category based on clear explanation.,Acknowledge confirmations in messages.
Do well :)all will for little time. Thing of good times ahead:,ham,Encouraging message about the future.,4,Correct category based on clear explanation.,Recognize encouragement in messages.
Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,ham,Casual update about waking up.,4,Correct category based on clear explanation.,Identify casual updates in texts.
Ok. There may be a free gym about.,ham,Informal message about a gym.,4,Correct category based on clear explanation.,Acknowledge informal discussions about facilities.
Men like shorter ladies. Gaze up into his eyes.,ham,Casual advice about dating.,4,Correct category based on clear explanation.,Identify dating advice in conversations.
Dunno he jus say go lido. Same time 930.,ham,Casual message about meeting plans.,4,Correct category based on clear explanation.,Acknowledge casual meeting discussions.
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",ham,Affectionate message with a request.,4,Correct category based on clear explanation.,Identify affectionate language in texts.
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam,Spam message about subscription service.,4,Correct category based on clear explanation.,Identify subscription spam messages.
Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,ham,Inquiry about communication and well wishes.,4,Correct category based on clear explanation.,Acknowledge inquiries about communication.
By monday next week. Give me the full gist,ham,Casual request for information.,4,Correct category based on clear explanation.,Ensure clarity in requests for information.
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",ham,Humorous observation about future trends.,4,Correct category based on clear explanation.,Encourage humor in casual conversations.
You have an important customer service announcement from PREMIER.,spam,Promotional message from a company.,4,Correct category based on clear explanation.,Identify promotional content clearly.
Dont gimme that lip caveboy,ham,Informal expression of annoyance.,4,Correct category based on clear explanation.,Recognize informal expressions in texts.
When did you get to the library,ham,Casual inquiry about someone's location.,4,Correct category based on clear explanation.,Classify casual inquiries accurately.
Realy sorry-i don't recognise this number and am now confused :) who r u please?!,ham,Polite request for identification.,4,Correct category based on clear explanation.,Identify polite requests effectively.
So why didnt you holla?,ham,Casual question about communication.,4,Correct category based on clear explanation.,Classify casual communication questions.
Cant think of anyone with * spare room off * top of my head,ham,Casual conversation about housing.,4,Correct category based on clear explanation.,Recognize casual housing discussions.
"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",ham,Seasonal greeting with positive message.,4,Correct category based on clear explanation.,Identify seasonal greetings accurately.
U should have made an appointment,ham,Advice regarding scheduling.,4,Correct category based on clear explanation.,Classify scheduling advice correctly.
"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",ham,Request for a phone call.,4,Correct category based on clear explanation.,Recognize requests for communication.
"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",spam,Advertisement for a travel deal.,4,Correct category based on clear explanation.,Identify travel advertisements clearly.
"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",ham,Casual update about personal situation.,4,Correct category based on clear explanation.,Classify personal updates accurately.
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam,Urgent scam message about unclaimed money.,4,Correct category based on clear explanation.,Identify scam messages effectively.
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham,Casual conversation about plans.,4,Correct category based on clear explanation.,Classify casual plans discussions.
"Wishing you and your family Merry ""X"" mas and HAPPY New Year in advance..",ham,Seasonal greeting.,4,Correct category based on clear explanation.,Identify seasonal greetings accurately.
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,spam,Promotional message about a contest.,4,Correct category based on clear explanation.,Identify contest promotions clearly.
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",ham,Casual message about plans.,4,Correct category based on clear explanation.,Classify casual plans discussions.
"Sorry, I'll call later",ham,Apology for delayed communication.,4,Correct category based on clear explanation.,Recognize apologies in communication.
I cant pick the phone right now. Pls send a message,ham,Request for text communication.,4,Correct category based on clear explanation.,Identify requests for text communication.
Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,ham,Casual comment about weather.,4,Correct category based on clear explanation.,Classify casual comments accurately.
Not getting anywhere with this damn job hunting over here!,ham,Frustration about job search.,4,Correct category based on clear explanation.,Recognize expressions of frustration.
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan?,ham,Casual conversation about plans.,4,Correct category based on clear explanation.,Classify casual plans discussions.
"idc get over here, you are not weaseling your way out of this shit twice in a row",ham,Direct request for someone to come.,4,Correct category based on clear explanation.,Identify direct requests effectively.
I wil be there with in  &lt;#&gt;  minutes. Got any space,ham,Update on arrival time.,4,Correct category based on clear explanation.,Classify arrival updates accurately.
Just sleeping..and surfing,ham,Casual update about activities.,4,Correct category based on clear explanation.,Recognize casual activity updates.
Thanks for picking up the trash.,ham,Gratitude for a task completed.,4,Correct category based on clear explanation.,Identify expressions of gratitude.
Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,ham,Advice about personal relationships.,4,Correct category based on clear explanation.,Classify relationship advice accurately.
Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,ham,Friendly message about a social event.,4,Correct category based on clear explanation.,Recognize friendly social messages.
Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,ham,Warm New Year greeting.,4,Correct category based on clear explanation.,Identify warm greetings accurately.
That means get the door,ham,Casual conversation about opening a door.,4,Correct category based on clear explanation.,Ensure clarity in casual conversations.
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham,Requesting feedback on personal traits.,4,Correct category based on clear explanation.,Clarify requests for personal feedback.
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",ham,Playful banter about being late.,4,Correct category based on clear explanation.,Identify playful tones in messages.
Beerage?,ham,Informal inquiry about beer.,4,Correct category based on clear explanation.,Recognize informal inquiries.
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,spam,Promotional message for customer service.,4,Correct category based on clear explanation.,Flag promotional messages clearly.
Dont think so. It turns off like randomlly within 5min of opening,ham,Discussing a technical issue.,4,Correct category based on clear explanation.,Clarify technical discussions.
"She was supposed to be but couldn't make it, she's still in town though",ham,Informal update about someone's plans.,4,Correct category based on clear explanation.,Identify informal updates.
It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,ham,Discussing a feature of a device.,4,Correct category based on clear explanation.,Clarify discussions about device features.
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam,Invitation to join a dating service.,4,Correct category based on clear explanation.,Identify dating service invitations.
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",spam,Advertisement for ringtone subscription.,4,Correct category based on clear explanation.,Flag ringtone subscription ads.
Gud mrng dear hav a nice day,ham,Friendly morning greeting.,4,Correct category based on clear explanation.,Recognize friendly greetings.
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,ham,Personal message checking in.,4,Correct category based on clear explanation.,Identify personal check-ins.
All e best 4 ur driving tmr :-),ham,Wishing someone good luck.,4,Correct category based on clear explanation.,Recognize good luck wishes.
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THAT'S AL!!!!!!!!!,ham,"Casual, humorous inquiry about someone's location.",4,Correct category based on clear explanation.,Identify humorous inquiries.
Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,ham,Excited personal update about weight loss.,4,Correct category based on clear explanation.,Recognize excited personal updates.
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,ham,Discussion about grammar or language.,4,Correct category based on clear explanation.,Clarify discussions about language.
it's really getting me down just hanging around.,ham,Expressing feelings of boredom or sadness.,4,Correct category based on clear explanation.,Identify expressions of feelings.
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",spam,Promotional message for a phone upgrade.,4,Correct category based on clear explanation.,Flag promotional upgrade messages.
Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,ham,Casual invitation to meet up.,4,Correct category based on clear explanation.,Identify casual invitations.
Ok i msg u b4 i leave my house.,ham,Planning to communicate before leaving.,4,Correct category based on clear explanation.,Clarify planning messages.
Gimme a few was  &lt;#&gt;  minutes ago,ham,Casual request for a few minutes.,4,Correct category based on clear explanation.,Identify casual requests.
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",spam,Urgent promotional message for discount vouchers.,4,Correct category based on clear explanation.,Flag urgent promotional messages.
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,ham,Reminder about an appointment.,4,Correct category based on clear explanation.,Identify appointment reminders.
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam,Advertisement for ringtone service.,4,Correct category based on clear explanation.,Flag ringtone service advertisements.
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam,Spam message about winning money.,4,Correct category based on clear explanation.,Identify spam messages about winnings.
K I'll be there before 4.,ham,Confirming arrival time.,4,Correct category based on clear explanation.,Clarify arrival confirmations.
I dled 3d its very imp,ham,Discussing the importance of something downloaded.,4,Correct category based on clear explanation.,Identify discussions about downloads.
"sure, but make sure he knows we ain't smokin yet",ham,Casual conversation about smoking.,4,Correct category based on clear explanation.,Clarify casual conversations.
Boooo you always work. Just quit.,ham,Playful comment about work.,4,Correct category based on clear explanation.,Identify playful comments.
I am taking half day leave bec i am not well,ham,Informing about taking leave due to illness.,4,Correct category based on clear explanation.,Clarify leave notifications.
Ugh I don't wanna get out of bed. It's so warm.,ham,Casual expression of reluctance to get up.,4,Correct category based on clear explanation.,Ensure clarity in casual expressions.
S:)s.nervous  &lt;#&gt; :),ham,Informal message indicating nervousness.,4,Correct category based on clear explanation.,Clarify informal expressions for better classification.
So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,ham,Casual conversation about a costume accessory.,4,Correct category based on clear explanation.,Focus on context in casual conversations.
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,Promotional message with a prize offer.,4,Correct category based on clear explanation.,Identify promotional language in messages.
I borrow ur bag ok.,ham,Simple request to borrow an item.,4,Correct category based on clear explanation.,Clarify requests in informal texts.
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam,Notification about bidding status.,4,Correct category based on clear explanation.,Recognize bidding notifications as spam.
Where's my boytoy? I miss you ... What happened?,ham,Personal message expressing missing someone.,4,Correct category based on clear explanation.,Focus on personal sentiments in messages.
"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",ham,Casual conversation about matching items.,4,Correct category based on clear explanation.,Clarify casual discussions about items.
Also are you bringing galileo or dobby,ham,Casual inquiry about bringing items.,4,Correct category based on clear explanation.,Identify casual inquiries in texts.
Then why you not responding,ham,Question about lack of response.,4,Correct category based on clear explanation.,Clarify questions about communication.
BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & I\x92LLSPEAK 2U SOONLOTS OF LOVEME XXXX.,ham,Friendly message checking on someone's well-being.,4,Correct category based on clear explanation.,Focus on friendly tones in messages.
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,ham,Flirty message expressing affection.,4,Correct category based on clear explanation.,Identify flirty language in texts.
On the road so cant txt,ham,Informal message about being unable to text.,4,Correct category based on clear explanation.,Clarify informal messages about availability.
"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam,Service message with promotional content.,4,Correct category based on clear explanation.,Recognize service messages as spam.
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam,Promotional message for a charity song.,4,Correct category based on clear explanation.,Identify charity promotions as spam.
Have a good evening! Ttyl,ham,Friendly farewell message.,4,Correct category based on clear explanation.,Focus on friendly farewells in texts.
Hmm .. Bits and pieces lol ... *sighs* ...,ham,Casual expression of mixed feelings.,4,Correct category based on clear explanation.,Clarify expressions of mixed feelings.
Hahaha..use your brain dear,ham,Light-hearted teasing.,4,Correct category based on clear explanation.,Identify teasing language in messages.
Hey. You got any mail?,ham,Casual inquiry about mail.,4,Correct category based on clear explanation.,Clarify casual inquiries about communication.
"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",ham,Apology for a misunderstanding.,4,Correct category based on clear explanation.,Focus on apologies in messages.
Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,ham,Gratitude message after an event.,4,Correct category based on clear explanation.,Identify gratitude in messages.
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam,Spam message about a secret admirer.,4,Correct category based on clear explanation.,Recognize secret admirer messages as spam.
Hi mate its RV did u hav a nice hol just a message 3 say hello coz haven\x92t sent u 1 in ages started driving so stay off roads!RVx,ham,Friendly check-in message.,4,Correct category based on clear explanation.,Focus on friendly check-ins in texts.
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",spam,Promotional message for a voucher offer.,4,Correct category based on clear explanation.,Identify promotional offers as spam.
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",ham,Thank you message with personal touch.,4,Correct category based on clear explanation.,Focus on personal touches in gratitude messages.
Surely result will offer:),ham,Optimistic statement about results.,4,Correct category based on clear explanation.,Identify optimism in messages.
Good Morning my Dear........... Have a great &amp; successful day.,ham,Friendly morning greeting.,4,Correct category based on clear explanation.,Focus on friendly greetings in texts.
Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,spam,Promotional message for a phone deal.,4,Correct category based on clear explanation.,Identify phone deals as spam.
"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",ham,Request for financial assistance.,4,Correct category based on clear explanation.,Clarify requests for assistance in messages.
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam,Spam message about a phone offer.,4,Correct category based on clear explanation.,Recognize phone offers as spam.
Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,spam,Promotional message with urgency and offers.,4,Correct category based on clear explanation.,Clarify urgency in promotional messages.
I luv u soo much u don’t understand how special u r 2 me ring u 2morrow luv u xxx,ham,Personal message expressing affection.,4,Correct category based on clear explanation.,Focus on emotional context in personal messages.
"Pls send me a comprehensive mail about who i'm paying, when and how much.",ham,Request for information regarding payment.,4,Correct category based on clear explanation.,Emphasize clarity in requests for information.
Our Prashanthettan's mother passed away last night. pray for her and family.,ham,Message conveying condolences and support.,4,Correct category based on clear explanation.,Highlight emotional support in condolence messages.
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",spam,Urgent promotional message with a prize.,4,Correct category based on clear explanation.,Identify urgency in promotional content.
K.k:)when are you going?,ham,Casual inquiry about plans.,4,Correct category based on clear explanation.,Clarify casual inquiries in personal messages.
Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,ham,Informal message about personal situation.,4,Correct category based on clear explanation.,Focus on informal context in personal messages.
My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,ham,Personal message about health concerns.,4,Correct category based on clear explanation.,Highlight health-related concerns in personal messages.
I am in office:)whats the matter..msg me now.i will call you at break:).,ham,Casual work-related communication.,4,Correct category based on clear explanation.,Clarify work-related communication context.
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",ham,Informal message about personal space.,4,Correct category based on clear explanation.,Emphasize informal context in personal messages.
"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",spam,Promotional message with urgency and offers.,4,Correct category based on clear explanation.,Identify urgency in promotional content.
U reach orchard already? U wan 2 go buy tickets first?,ham,Casual inquiry about plans.,4,Correct category based on clear explanation.,Clarify casual inquiries in personal messages.
"I am real, baby! I want to bring out your inner tigress...",spam,Suggestive promotional message.,4,Correct category based on clear explanation.,Identify suggestive content in promotional messages.
No da if you run that it activate the full version da.,ham,Casual conversation about software.,4,Correct category based on clear explanation.,Focus on casual context in software discussions.
AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.,ham,Supportive message expressing care.,4,Correct category based on clear explanation.,Highlight emotional support in caring messages.
Stop the story. I've told him i've returned it and he's saying i should not re order it.,ham,Message about a transaction issue.,4,Correct category based on clear explanation.,Clarify transaction-related communication.
Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,spam,Promotional message for dating service.,4,Correct category based on clear explanation.,Identify suggestive content in promotional messages.
Going to take your babe out ?,ham,Casual inquiry about plans.,4,Correct category based on clear explanation.,Clarify casual inquiries in personal messages.
Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,ham,Informal message about meeting plans.,4,Correct category based on clear explanation.,Focus on informal context in meeting plans.
Spoons it is then okay?,ham,Casual confirmation of plans.,4,Correct category based on clear explanation.,Clarify casual confirmations in personal messages.
Did he just say somebody is named tampa,ham,Casual conversation about names.,4,Correct category based on clear explanation.,Focus on casual context in name discussions.
In work now. Going have in few min.,ham,Work-related status update.,4,Correct category based on clear explanation.,Clarify work-related status updates.
Your brother is a genius,ham,Complimentary message about someone's brother.,4,Correct category based on clear explanation.,Highlight compliments in personal messages.
"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",ham,Message about scheduling.,4,Correct category based on clear explanation.,Clarify scheduling-related communication.
Did u find out what time the bus is at coz i need to sort some stuff out.,ham,Inquiry about bus schedule.,4,Correct category based on clear explanation.,Focus on inquiries about schedules.
Dude ive been seeing a lotta corvettes lately,ham,Casual observation about cars.,4,Correct category based on clear explanation.,Highlight casual observations in conversations.
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,spam,Promotional message with a prize.,4,Correct category based on clear explanation.,Identify promotional content with prizes.
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",ham,Casual conversation about gaming.,4,Correct category based on clear explanation.,Focus on casual context in gaming discussions.
PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,spam,Private account statement notification.,4,Correct category based on clear explanation.,Identify private notifications in spam messages.
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,spam,Request for personal information for a trial.,4,Correct category based on clear explanation.,Highlight requests for personal information in spam.
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Promotional message with offers and a call to action.,4,Correct category based on clear explanation.,Ensure clear identification of promotional language.
"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",ham,Casual conversation indicating a personal situation.,4,Correct category based on clear explanation.,Focus on context to differentiate personal messages.
Its going good...no problem..but still need little experience to understand american customer voice...,ham,Discussion about work experience and challenges.,4,Correct category based on clear explanation.,Look for context indicating work-related discussions.
